nct_id,brief_title,study_type,overall_status,start_date,study_first_post_date,enrollment,lead_sponsor,interventions,countries,has_results,preliminary_screening,screening_reason
NCT00082082,A Trial of Thymalfasin in Adult Patients With Hepatocellular Carcinoma,INTERVENTIONAL,COMPLETED,,2004-04-30,,SciClone Pharmaceuticals,Thymalfasin (thymosin alpha-1); Trans arterial chemoembolization (TACE),United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07092527,"Androgen Effects on the Reproductive Neuroendocrine Axis, 2025 Version",INTERVENTIONAL,RECRUITING,2025-12-05,2025-07-30,80,"University of California, San Diego",Testosterone Cypionate 50 milligrams per millileter (mg/mL) Injectable Solution,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT06779331,Phosphate Urine Excretion in Critically Ill Patients,OBSERVATIONAL,ACTIVE_NOT_RECRUITING,2023-09-11,2025-01-16,205,Rabin Medical Center,,Israel,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05130086,A Study of Islatravir (MK-8591) in Trans and Gender Diverse Participants (MK-8591-035),INTERVENTIONAL,WITHDRAWN,2022-10-17,2021-11-22,0,Merck Sharp & Dohme LLC,Islatravir,,False,include,Transgender population and GAHT intervention/exposure identified
NCT02766764,Combined Dehydropeiandrosterone and Growth Hormone in Women With Expected Poor Ovarian Response Undergoing ICSI,INTERVENTIONAL,UNKNOWN,2016-06,2016-05-10,230,Cairo University,DHEA; Growth hormone; Placebo 1; Placebo 2,Egypt,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT03864198,"To Evaluate the Effect of Reveratrol,Folic Acid, Vitamin D, Vitamin B12 and B6 in Male Infertility",INTERVENTIONAL,UNKNOWN,2019-01-20,2019-03-06,20,University Of Perugia,Genante,Italy,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT02985996,Body Compartment PK for New HIV Pre-exposure Prophylaxis Modalities,INTERVENTIONAL,COMPLETED,2017-02-06,2016-12-07,48,Emory University,Truvada; Genvoya,United States,True,include,Transgender population and GAHT intervention/exposure identified
NCT02060474,Thyroid Hormone Analog Therapy in MCT8 Deficiency: Triac Trial Patients,INTERVENTIONAL,COMPLETED,2014-10,2014-02-12,46,Erasmus Medical Center,Triac,Netherlands,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04838249,"Effects of Cross-sex Hormone Therapy on Eating Behavior, Metabolism, Energy Balance and Cardiovascular System",OBSERVATIONAL,RECRUITING,2021-05-05,2021-04-09,80,University of Leipzig,,Germany,False,include,Transgender population and GAHT intervention/exposure identified
NCT05195164,The Effects of Orchiectomy and Age on Vascular and Metabolic Health in Older Versus Younger Transgender Women,OBSERVATIONAL,COMPLETED,2021-03-22,2022-01-18,17,"University of Colorado, Denver",No intervention,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT04195659,Chest Dysphoria in Transmasculine Spectrum Adolescents,OBSERVATIONAL,COMPLETED,2019-10-29,2019-12-12,81,Northwestern University,Mastectomy and chest masculinization,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT04107480,PRolaCT - Three Prolactinoma RCTs,INTERVENTIONAL,UNKNOWN,2019-06-21,2019-09-27,880,Leiden University Medical Center,Endoscopic trans-sphenoidal adenoma resection; Dopamine Agonists,Netherlands,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04128488,Effects of Gender-Affirming Hormone Therapy Among Transgender Women,OBSERVATIONAL,COMPLETED,2019-11-01,2019-10-16,33,Massachusetts General Hospital,"Abdominal MR Imaging; Cardiac MRI/MRS; Oral Glucose Tolerance Testing; Whole Body, Lumbar Spine, and Hip DEXA Imaging",United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT05607303,Effect of Hormones on Frequency of Headache and Brain Structure and Function in Puberty,OBSERVATIONAL,ACTIVE_NOT_RECRUITING,2021-12-14,2022-11-07,140,"University of Colorado, Denver",Clinical estrogen therapy,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
